"N1,C,10","N2,C,15","N3,C,17","N4,C,17","N5,C,17","N6,C,17","N7,C,17","N8,C,18","N9,C,17",,,"N10,C,30","N11,C,17","N12,C,18","N13,C,18","N14,C,14","N15,C,15","N16,C,19",,,,,,,"N17,C,10","N18,C,9",,,,"N21,C,1","N22,C,16","N23,C,16",,,,,,,
10,9,1.159945055,5,5,4,1,3,1,5,1,0,2.307171139,0.535504598,2.842675737,2.3072,2.904,100,5,1.972057761,0.335113378,2.842675737,3.577504432,,,,,,,,,,,,,,,,
11,10,1.159945055,5,5,4,2,3,1,5,1,2696.247638,2.547323461,0.591245011,3.138568472,2.5473,3.206,100,5,2.177328294,0.369995167,3.138568472,3.949885129,,,,,,,,,,,,,,,,
12,11,1.159945055,5,5,4,4,3,1,5,1,2633.634974,2.812473121,0.652787417,3.465260538,2.8125,3.539,100,5,2.403965337,0.408507784,3.465260538,4.361026751,,,,,,,,,,,,,,,,
13,12,1.159945055,5,5,4,3,3,1,5,1,2338.820326,2.699230606,0.62650333,3.325733936,2.6992,3.397,100,5,2.307171139,0.392059467,3.325733936,4.185432668,,,,,,,,,,,,,,,,
14,13,1.159945055,5,5,4,1,3,1,5,1,0,2.307171139,0.535504598,2.842675737,2.3072,2.904,100,5,1.972057761,0.335113378,2.842675737,3.577504432,,,,,,,,,,,,,,,,
15,14,1.159945055,5,5,4,2,3,1,5,1,0,2.547323461,0.591245011,3.138568472,2.5473,3.206,100,5,2.177328294,0.369995167,3.138568472,3.949885129,,,,,,,,,,,,,,,,
16,15,1.159945055,5,5,4,4,3,1,5,1,2294.31847,2.812473121,0.652787417,3.465260538,2.8125,3.539,100,5,2.403965337,0.408507784,3.465260538,4.361026751,,,,,,,,,,,,,,,,
17,16,1.159945055,5,5,4,4,3,1,5,1,2338.820326,2.812473121,0.652787417,3.465260538,2.8125,3.539,100,5,2.403965337,0.408507784,3.465260538,4.361026751,,,,,,,,,,,,,,,,
18,17,1.159945055,5,5,4,3,3,1,5,1,2203.067247,2.699230606,0.62650333,3.325733936,2.6992,3.397,100,5,2.307171139,0.392059467,3.325733936,4.185432668,,,,,,,,,,,,,,,,
19,18,1.159945055,5,5,4,2,3,1,5,1,0,2.547323461,0.591245011,3.138568472,2.5473,3.206,100,5,2.177328294,0.369995167,3.138568472,3.949885129,,,,,,,,,,,,,,,,
20,19,1.159945055,5,5,4,1,3,1,5,1,0,2.307171139,0.535504598,2.842675737,2.3072,2.904,100,5,1.972057761,0.335113378,2.842675737,3.577504432,,,,,,,,,,,,,,,,
21,20,1.159945055,5,5,4,2,3,1,5,1,0,2.547323461,0.591245011,3.138568472,2.5473,3.206,100,5,2.177328294,0.369995167,3.138568472,3.949885129,,,,,,,,,,,,,,,,
22,21,1.159945055,5,5,4,5,3,1,5,1,0,2.903572457,0.673931975,3.577504432,2.9036,3.654,100,5,2.481832623,0.421739835,3.577504432,4.502285574,,,,,,,,,,,,,,,,
23,22,1.159945055,5,5,4,4,3,1,5,1,0,2.812473121,0.652787417,3.465260538,2.8125,3.539,100,5,2.403965337,0.408507784,3.465260538,4.361026751,,,,,,,,,,,,,,,,
24,23,1.159945055,5,5,4,4,3,1,5,1,0,3.539494472,0.821532279,4.361026751,2.8125,3.539,100,5,2.403965337,1.135529134,3.465260538,4.361026751,,,,,,,,,,,,,,,,
25,24,1.159945055,5,5,4,4,3,1,5,1,0,2.812473121,0.652787417,3.465260538,2.8125,3.539,100,5,2.403965337,0.408507784,3.465260538,4.361026751,,,,,,,,,,,,,,,,
26,25,1.159945055,5,5,4,1,3,1,5,1,2589.45647,2.307171139,0.535504598,2.842675737,2.3072,2.904,100,5,1.972057761,0.335113378,2.842675737,3.577504432,,,,,,,,,,,,,,,,
27,26,1.159945055,5,5,4,1,3,1,5,1,2531.551935,2.307171139,0.535504598,2.842675737,2.3072,2.904,100,5,1.972057761,0.335113378,2.842675737,3.577504432,,,,,,,,,,,,,,,,
28,27,1.159945055,5,5,4,3,3,1,5,1,2365.30138,2.699230606,0.62650333,3.325733936,2.6992,3.397,100,5,2.307171139,0.392059467,3.325733936,4.185432668,,,,,,,,,,,,,,,,
29,28,1.159945055,5,5,5,1,3,1,5,1,0,2.381903146,0.552850226,2.934753372,2.3819,2.998,100,5,2.035935048,0.345968097,2.934753372,3.693384039,,,,,,,,,,,,,,,,
30,29,1.159945055,5,5,5,1,3,1,5,1,0,2.381903146,0.552850226,2.934753372,2.3819,2.998,100,5,2.035935048,0.345968097,2.934753372,3.693384039,,geomorphology,,,,,,,,,,,,,,
31,30,1.159945055,5,5,5,3,3,1,5,1,0,2.786661883,0.646796515,3.433458398,2.7867,3.507,100,5,2.381903146,0.404758737,3.433458398,4.321003791,,ranks,count,percentage,,,,,,,,,,,,
32,31,1.159945055,5,5,5,1,3,1,5,1,0,2.381903146,0.552850226,2.934753372,2.3819,2.998,100,5,2.035935048,0.345968097,2.934753372,3.693384039,,1,0,,,,,,,,,,,,,
33,32,1.159945055,4,5,5,5,3,1,5,1,0,2.903572457,0.673931975,3.577504432,2.9036,3.654,100,5,2.481832623,0.421739835,3.577504432,4.502285574,,2,0,,,,,,,,,,,,,
34,33,1.159945055,1,2,5,1,3,1,5,1,0,1.660438014,0.385394987,2.045833001,1.6604,2.09,100,5,1.419261717,0.241176297,2.045833001,2.574678685,,3,254,29.77725674,,,,,,,,,,,,
35,34,1.159945055,2,4,5,1,3,1,5,1,0,2.024096611,0.469801752,2.493898362,2.0241,2.547,100,5,1.730099412,0.293997199,2.493898362,3.138568472,,4,439,51.46541618,,,,,,,,,,,,
36,35,1.159945055,3,4,5,5,3,1,5,1,0,3.396978885,0.788453783,4.185432668,2.6992,3.397,100,5,2.307171139,1.089807746,3.325733936,4.185432668,,5,160,18.75732708,,,,,,,,,,,,
37,36,1.159945055,4,5,5,1,3,1,5,1,0,2.307171139,0.535504598,2.842675737,2.3072,2.904,100,5,1.972057761,0.335113378,2.842675737,3.577504432,,,,,,,,,,,,,,,,
38,37,1.159945055,5,5,5,1,3.5,1,5,3.5,0,2.434938099,0.565159873,3.000097972,2.4349,3.064,100,5,2.434938099,3.9968E-15,3.000097972,3.77562015,,,,,,,,,,,,,,,,
39,38,1.159945055,5,5,5,3,4,1,5,4,0,3.654142891,0.848142683,4.502285574,2.9036,3.654,100,5,2.903572457,0.750570433,3.577504432,4.502285574,,habitat,count,percentage,,,,,,,,,,,,
40,39,1.159945055,2,4,5,3,4,1,5,4,0,2.467401406,0.57269475,3.040096156,2.4674,3.105,100,5,2.467401406,4.44089E-15,3.040096156,3.825957822,,ranks,,,,,,,,,,,,,,
41,40,1.159945055,4,5,5,2,4,1,5,4,0,2.65419292,0.616049884,3.270242805,2.6542,3.34,100,5,2.65419292,0,3.270242805,4.115597138,,1,480,55.87892899,,,,,,,,,,,,
42,41,1.159945055,5,5,5,2,4,1,5,4,0,2.740165373,0.63600447,3.376169843,2.7402,3.448,100,5,2.740165373,0,3.376169843,4.248906205,,2,240,27.93946449,,,,,,,,,,,,
43,42,1.159945055,5,5,5,3,4,1,5,4,0,3.654142891,0.848142683,4.502285574,2.9036,3.654,100,5,2.903572457,0.750570433,3.577504432,4.502285574,,3,0,0,,,,,,,,,,,,
44,43,1.194448725,5,5,5,3,3,1,5,1,0,2.798355345,0.635103053,3.433458398,2.7984,3.522,100,5,2.391898149,0.406457196,3.433458398,4.321003791,,4,0,0,,,,,,,,,,,,
45,44,1.194448725,5,5,5,5,3,1,5,1,0,3.78833519,0.859784747,4.648119937,3.0102,3.788,100,5,2.572973784,1.215361406,3.693384039,4.648119937,,5,139,16.18160652,,,,,,,,,,,,
46,45,1.194448725,5,5,5,3,3,1,5,1,0,2.798355345,0.635103053,3.433458398,2.7984,3.522,100,5,2.391898149,0.406457196,3.433458398,4.321003791,,,,,,,,,,,,,,,,
47,46,1.194448725,5,5,5,4,3,1,5,1,0,2.915756503,0.661747929,3.577504432,2.9158,3.669,100,5,2.492246953,0.42350955,3.577504432,4.502285574,,,,,,,,,,,,,,,,
48,47,1.194448725,5,5,5,2,3,1,5,1,0,2.640869664,0.599360759,3.240230423,2.6409,3.324,100,5,2.257287042,0.383582622,3.240230423,4.077826588,,surge,,,,,,,,,,,,,,
49,48,1.194448725,5,5,5,1,3,1,5,1,0,2.391898149,0.542855223,2.934753372,2.3919,3.01,100,5,2.044478291,0.347419858,2.934753372,3.693384039,,ranks,,,,1,,,,,,,,,,
50,49,1.194448725,5,5,5,1,3,1,5,1,0,2.391898149,0.542855223,2.934753372,2.3919,3.01,100,5,2.044478291,0.347419858,2.934753372,3.693384039,,1,172,,3,21,,,,,,,,,,
51,50,1.194448725,5,5,5,1,3,1,5,1,0,2.391898149,0.542855223,2.934753372,2.3919,3.01,100,5,2.044478291,0.347419858,2.934753372,3.693384039,,2,172,,,2,,,,,,,,,,
52,51,1.194448725,5,5,5,1,3,1,5,1,0,3.01020131,0.683182729,3.693384039,2.3919,3.01,100,5,2.044478291,0.965723019,2.934753372,3.693384039,,3,172,,,1,,,,,,,,,,
53,52,1.194448725,5,5,5,1,3,1,5,1,0,2.391898149,0.542855223,2.934753372,2.3919,3.01,100,5,2.044478291,0.347419858,2.934753372,3.693384039,,4,172,,,1,,,,,,,,,,
54,53,1.159945055,5,5,5,1,3,1,5,1,0,2.381903146,0.552850226,2.934753372,2.3819,2.998,100,5,2.035935048,0.345968097,2.934753372,3.693384039,,5,172,,,,,,,,,,,,,
55,54,1.159945055,5,5,5,1,3,1,5,1,0,2.381903146,0.552850226,2.934753372,2.3819,2.998,100,5,2.035935048,0.345968097,2.934753372,3.693384039,,,,,,,,,,,,,,,,
56,55,1.159945055,5,5,5,1,3,1,5,1,0,2.381903146,0.552850226,2.934753372,2.3819,2.998,100,5,2.035935048,0.345968097,2.934753372,3.693384039,,,,,,,,,,,,,,,,
57,56,1.8,5,5,5,3,3,1,5,1,0,2.96719735,0.466261047,3.433458398,2.9672,3.734,100,5,2.536216089,0.430981261,3.433458398,4.321003791,,wave,,,,,,,,,,,,,,
58,57,1.8,5,5,5,1,3,1,5,1,0,2.536216089,0.398537283,2.934753372,2.5362,3.192,100,5,2.167834253,0.368381836,2.934753372,3.693384039,,1,172,,,,,,,,,,,,,
59,58,1.8,5,5,5,1,3,1,5,1,0,2.536216089,0.398537283,2.934753372,2.5362,3.192,100,5,2.167834253,0.368381836,2.934753372,3.693384039,,2,172,,,,,,,,,,,,,
60,59,1.8,5,5,5,1,3,1,5,1,0,2.536216089,0.398537283,2.934753372,2.5362,3.192,100,5,2.167834253,0.368381836,2.934753372,3.693384039,,3,172,,,,,,,,,,,,,
61,60,1.8,5,5,5,3,3,1,5,1,0,2.96719735,0.466261047,3.433458398,2.9672,3.734,100,5,2.536216089,0.430981261,3.433458398,4.321003791,,4,172,,,,,,,,,,,,,
62,61,1.8,5,5,5,1,3,1,5,1,0,3.191825287,0.501558752,3.693384039,2.5362,3.192,100,5,2.167834253,1.023991034,2.934753372,3.693384039,,5,172,,,,,,,,,,,,,
63,62,1.194448725,5,5,5,1,3,1,5,1,0,2.391898149,0.542855223,2.934753372,2.3919,3.01,100,5,2.044478291,0.347419858,2.934753372,3.693384039,,,,,,,,,,,,,,,,
64,63,1.194448725,5,5,5,1,3,1,5,1,0,2.391898149,0.542855223,2.934753372,2.3919,3.01,100,5,2.044478291,0.347419858,2.934753372,3.693384039,,,,,,,,,,,,,,,,
65,64,1.194448725,5,5,5,1,3,1,5,1,0,2.391898149,0.542855223,2.934753372,2.3919,3.01,100,5,2.044478291,0.347419858,2.934753372,3.693384039,,relief,,,,,,,,,,,,,,
66,65,1.194448725,5,5,5,2,3,1,5,1,0,2.640869664,0.599360759,3.240230423,2.6409,3.324,100,5,2.257287042,0.383582622,3.240230423,4.077826588,,1,172,,,,,,,,,,,,,
67,66,1.194448725,5,5,5,2,3,1,5,1,0,2.640869664,0.599360759,3.240230423,2.6409,3.324,100,5,2.257287042,0.383582622,3.240230423,4.077826588,,2,172,,,,,,,,,,,,,
68,67,1.194448725,5,5,5,4,3,1,5,1,0,2.915756503,0.661747929,3.577504432,2.9158,3.669,100,5,2.492246953,0.42350955,3.577504432,4.502285574,,3,172,,,,,,,,,,,,,
69,68,1.159945055,5,5,5,1,3,1,5,1,0,2.381903146,0.552850226,2.934753372,2.3819,2.998,100,5,2.035935048,0.345968097,2.934753372,3.693384039,,4,172,,,,,,,,,,,,,
70,69,1.159945055,5,5,5,1,3,1,5,1,0,2.381903146,0.552850226,2.934753372,2.3819,2.998,100,5,2.035935048,0.345968097,2.934753372,3.693384039,,5,172,,,,,,,,,,,,,
71,70,1.8,5,5,5,4,3,1,5,1,4370.458148,3.890878606,0.611406968,4.502285574,3.0917,3.891,100,5,2.642619554,1.248259052,3.577504432,4.502285574,,,,,,,,,,,,,,,,
72,71,1.8,5,5,5,4,3,1,5,1,4243.26604,3.890878606,0.611406968,4.502285574,3.0917,3.891,100,5,2.642619554,1.248259052,3.577504432,4.502285574,,wind,,,,,,,,,,,,,,
73,72,1.8,5,5,5,4,3,1,5,1,3934.949661,3.091682043,0.48582239,3.577504432,3.0917,3.891,100,5,2.642619554,0.449062489,3.577504432,4.502285574,,1,172,,,,,,,,,,,,,
74,73,1.8,5,4,5,2,3,1,5,1,3770.124426,2.712353253,0.426215219,3.138568472,2.7124,3.413,100,5,2.31838774,0.393965513,3.138568472,3.949885129,,2,172,,,,,,,,,,,,,
75,74,1.8,5,4,5,2,3,1,5,1,3629.025324,2.712353253,0.426215219,3.138568472,2.7124,3.413,100,5,2.31838774,0.393965513,3.138568472,3.949885129,,3,172,,,,,,,,,,,,,
76,75,1.8,5,4,5,1,3,1,5,1,3596.454157,2.456642527,0.38603321,2.842675737,2.4566,3.092,100,5,2.099818639,0.356823888,2.842675737,3.577504432,,4,172,,,,,,,,,,,,,
77,76,1.8,5,4,5,1,3,1,5,1,3727.640306,2.456642527,0.38603321,2.842675737,2.4566,3.092,100,5,2.099818639,0.356823888,2.842675737,3.577504432,,5,172,,,,,,,,,,,,,
78,77,1.8,5,5,5,1,3,1,5,1,0,2.536216089,0.398537283,2.934753372,2.5362,3.192,100,5,2.167834253,0.368381836,2.934753372,3.693384039,,,,,,,,,,,,,,,,
79,78,1.8,5,5,5,2,3,1,5,1,4228.057066,2.800209588,0.440020835,3.240230423,2.8002,3.524,100,5,2.393483066,0.406726523,3.240230423,4.077826588,,,,,,,,,,,,,,,,
80,79,1.8,5,5,5,5,4,1,5,4,3335.772195,3.325733936,0.522600961,3.848334897,3.3257,4.185,100,5,3.325733936,0,3.848334897,4.84312543,,,,,,,,,,,,,,,,
81,80,1.8,5,5,5,4,3,1,5,1,0,3.091682043,0.48582239,3.577504432,3.0917,3.891,100,5,2.642619554,0.449062489,3.577504432,4.502285574,,,,,,,,,,,,,,,,
82,81,1.8,5,5,5,5,5,1,5,5,3452.055578,3.433458398,0.539528626,3.972987024,3.4335,4.321,100,5,3.433458398,0,3.972987024,5,,,,,,,,,,,,,,,,
83,82,1.8,5,4,5,3,5,1,5,5,3536.678323,3.091682043,0.48582239,3.577504432,3.0917,3.891,100,5,3.091682043,0,3.577504432,4.502285574,,,,,,,,,,,,,,,,
84,83,1.8,5,4,5,3,5,1,5,5,3522.363925,3.091682043,0.48582239,3.577504432,3.0917,3.891,100,5,3.091682043,0,3.577504432,4.502285574,,,,,,,,,,,,,,,,
85,84,1.8,5,4,5,2,5,1,5,5,3522.363925,2.917688538,0.458481305,3.376169843,2.9177,3.672,100,5,2.917688538,-5.32907E-15,3.376169843,4.248906205,,,,,,,,,,,,,,,,
86,85,1.8,4,3,5,5,4,1,5,4,0,2.994680784,0.470579754,3.465260538,2.9947,3.769,100,5,2.994680784,0,3.465260538,4.361026751,,,,,,,,,,,,,,,,
87,86,1.8,5,4,5,4,4,1,5,4,0,3.120318506,0.490322282,3.610640788,3.1203,3.927,100,5,3.120318506,-4.44089E-15,3.610640788,4.543987642,,,,,,,,,,,,,,,,
88,87,1.8,2,3,5,4,4,1,5,4,3154.117894,2.627253403,0.412842753,3.040096156,2.6273,3.306,100,5,2.627253403,-5.32907E-15,3.040096156,3.825957822,,,,,,,,,,,,,,,,
89,88,1.8,4,3,5,4,4,1,5,4,3350.894497,2.900722932,0.455815355,3.356538286,2.9007,3.651,100,5,2.900722932,0,3.356538286,4.224199911,,,,,,,,,,,,,,,,
90,89,1.8,5,4,5,5,4,1,5,4,3339.912434,3.221389319,0.506204401,3.72759372,3.2214,4.054,100,5,3.221389319,0,3.72759372,4.691172785,,,,,,,,,,,,,,,,
91,90,1.8,5,4,5,5,4.5,1,5,4.5,0,3.27605148,0.514793933,3.790845413,3.2761,4.123,100,5,3.27605148,0,3.790845413,4.770774974,,,,,,,,,,,,,,,,
92,91,1.8,5,4,5,4,5,1,5,5,0,3.221389319,0.506204401,3.72759372,3.2214,4.054,100,5,3.221389319,0,3.72759372,4.691172785,,,,,,,,,,,,,,,,
93,92,1.8,5,4,5,4,5,1,5,5,3621.21273,4.054115078,0.637057708,4.691172785,3.2214,4.054,100,5,3.221389319,0.832725759,3.72759372,4.691172785,,,,,,,,,,,,,,,,
94,93,1.8,5,4,5,3,5,1,5,5,3563.186045,3.091682043,0.48582239,3.577504432,3.0917,3.891,100,5,3.091682043,0,3.577504432,4.502285574,,,,,,,,,,,,,,,,
95,94,1.159945055,4,5,5,4,3,1,5,1,3438.628136,2.812473121,0.652787417,3.465260538,2.8125,3.539,100,5,2.403965337,0.408507784,3.465260538,4.361026751,,,,,,,,,,,,,,,,
96,95,1.159945055,4,5,5,3,3,1,5,1,3428.608748,2.699230606,0.62650333,3.325733936,2.6992,3.397,100,5,2.307171139,0.392059467,3.325733936,4.185432668,,,,,,,,,,,,,,,,
97,96,1.159945055,4,5,5,3,3,1,5,1,3446.666934,2.699230606,0.62650333,3.325733936,2.6992,3.397,100,5,2.307171139,0.392059467,3.325733936,4.185432668,,,,,,,,,,,,,,,,
98,97,1.159945055,4,5,5,3,4,1,5,4,3474.029943,2.812473121,0.652787417,3.465260538,2.8125,3.539,100,5,2.812473121,0,3.465260538,4.361026751,,,,,,,,,,,,,,,,
99,98,1.159945055,3,4,5,5,4,1,5,4,3474.575689,2.812473121,0.652787417,3.465260538,2.8125,3.539,100,5,2.812473121,0,3.465260538,4.361026751,,,,,,,,,,,,,,,,
100,99,1.159945055,2,2,5,5,4,1,5,4,3479.45478,2.403965337,0.557970959,2.961936296,2.404,3.025,100,5,2.403965337,0,2.961936296,3.72759372,,,,,,,,,,,,,,,,
101,100,1.159945055,2,1,5,5,4,1,5,4,3469.316099,2.177328294,0.505367501,2.682695795,2.1773,2.74,100,5,2.177328294,0,2.682695795,3.376169843,,,,,,,,,,,,,,,,
102,101,1.159945055,1,1,5,3,4,1,5,4,3426.13051,1.833272199,0.425510564,2.258782763,1.8333,2.307,100,5,1.833272199,5.10703E-15,2.258782763,2.842675737,,,,,,,,,,,,,,,,
103,102,1.159945055,1,1,5,3,4,1,5,4,3315.201007,1.833272199,0.425510564,2.258782763,1.8333,2.307,100,5,1.833272199,5.10703E-15,2.258782763,2.842675737,,,,,,,,,,,,,,,,
104,103,1.159945055,1,1,5,3,4,1,5,4,3292.139437,1.833272199,0.425510564,2.258782763,1.8333,2.307,100,5,1.833272199,5.10703E-15,2.258782763,2.842675737,,,,,,,,,,,,,,,,
105,104,1.159945055,1,1,5,2,4,1,5,4,3228.042163,1.730099412,0.401563705,2.131663117,1.7301,2.177,100,5,1.730099412,-1.9984E-15,2.131663117,2.682695795,,,,,,,,,,,,,,,,
106,105,1.159945055,1,1,5,3,4,1,5,4,3426.351713,2.307171139,0.535504598,2.842675737,1.8333,2.307,100,5,1.833272199,0.47389894,2.258782763,2.842675737,,,,,,,,,,,,,,,,
107,106,1.159945055,2,2,5,4,4,1,5,4,3560.788764,2.328541132,0.540464668,2.869005799,2.3285,2.93,100,5,2.328541132,-3.55271E-15,2.869005799,3.610640788,,,,,,,,,,,,,,,,
108,107,1.159945055,2,2,5,3,4,1,5,4,3590.12641,2.234783843,0.518703187,2.75348703,2.2348,2.812,100,5,2.234783843,-4.44089E-15,2.75348703,3.465260538,,,,,,,,,,,,,,,,
109,108,1.194448725,2,2,5,4,4,1,5,4,3635.096151,2.338312216,0.530693584,2.869005799,2.3383,2.943,100,5,2.338312216,-5.32907E-15,2.869005799,3.610640788,,,,,,,,,,,,,,,,
110,109,1.159945055,1,1,5,2,4,1,5,4,3715.381026,1.730099412,0.401563705,2.131663117,1.7301,2.177,100,5,1.730099412,-1.9984E-15,2.131663117,2.682695795,,,,,,,,,,,,,,,,
111,110,1.159945055,2,2,5,3,4,1,5,4,3713.357814,2.234783843,0.518703187,2.75348703,2.2348,2.812,100,5,2.234783843,-4.44089E-15,2.75348703,3.465260538,,,,,,,,,,,,,,,,
112,111,1.159945055,2,2,5,3,4,1,5,4,3707.450092,2.234783843,0.518703187,2.75348703,2.2348,2.812,100,5,2.234783843,-4.44089E-15,2.75348703,3.465260538,,,,,,,,,,,,,,,,
113,112,1.159945055,1,1,5,1,4,1,5,4,3389.628163,1.566991979,0.36370575,1.930697729,1.567,1.972,100,5,1.566991979,0,1.930697729,2.429781066,,,,,,,,,,,,,,,,
114,113,1.159945055,2,2,4,2,4,1,5,4,3401.9684,2.570917845,0.596721372,3.167639218,2.0428,2.571,100,5,2.042844648,0.528073198,2.516997901,3.167639218,,,,,,,,,,,,,,,,
115,114,1.159945055,2,2,4,2,4,1,5,4,3396.003055,2.042844648,0.474153254,2.516997901,2.0428,2.571,100,5,2.042844648,5.32907E-15,2.516997901,3.167639218,,,,,,,,,,,,,,,,
116,115,1.159945055,1,1,4,2,4,1,5,4,3555.942531,1.675817691,0.388964678,2.064782369,1.6758,2.109,100,5,1.675817691,-2.44249E-15,2.064782369,2.598526445,,,,,,,,,,,,,,,,
117,116,1.159945055,2,1,4,3,4,1,5,4,0,2.467401406,0.57269475,3.040096156,1.9606,2.467,100,5,1.960590754,0.506810652,2.415652516,3.040096156,,,,,,,,,,,,,,,,
118,117,1.8,2,2,5,5,4,1,5,4,3248.680736,2.559707592,0.402228703,2.961936296,2.5597,3.221,100,5,2.559707592,0,2.961936296,3.72759372,,,,,,,,,,,,,,,,
119,118,1.8,4,3,5,4,4,1,5,4,3377.480319,2.900722932,0.455815355,3.356538286,2.9007,3.651,100,5,2.900722932,0,3.356538286,4.224199911,,,,,,,,,,,,,,,,
120,119,1.8,4,3,5,3,4,1,5,4,3314.184758,3.503569324,0.550545754,4.054115078,2.7839,3.504,100,5,2.783927092,0.719642232,3.221389319,4.054115078,,,,,,,,,,,,,,,,
121,120,1.8,4,3,5,3,4,1,5,4,3427.623929,2.783927092,0.437462227,3.221389319,2.7839,3.504,100,5,2.783927092,0,3.221389319,4.054115078,,,,,,,,,,,,,,,,
122,121,1.8,5,3,5,3,4,1,5,4,0,2.874101788,0.451632147,3.325733936,2.8741,3.617,100,5,2.874101788,4.44089E-15,3.325733936,4.185432668,,,,,,,,,,,,,,,,
123,122,1.8,5,3,5,3,4,1,5,4,0,2.874101788,0.451632147,3.325733936,2.8741,3.617,100,5,2.874101788,4.44089E-15,3.325733936,4.185432668,,,,,,,,,,,,,,,,
124,123,1.8,1,1,5,3,4,1,5,4,3518.63371,1.952041776,0.306740987,2.258782763,1.952,2.457,100,5,1.952041776,0,2.258782763,2.842675737,,,,,,,,,,,,,,,,
125,124,1.8,5,3,5,3,4,1,5,4,0,2.874101788,0.451632147,3.325733936,2.8741,3.617,100,5,2.874101788,4.44089E-15,3.325733936,4.185432668,,,,,,,,,,,,,,,,
126,125,1.8,5,3,5,1,4,1,5,4,0,2.456642527,0.38603321,2.842675737,2.4566,3.092,100,5,2.456642527,0,2.842675737,3.577504432,,,,,,,,,,,,,,,,
127,126,1.8,1,1,5,4,4,1,5,4,0,2.03393701,0.319609884,2.353546894,2.0339,2.56,100,5,2.03393701,0,2.353546894,2.961936296,,,,,,,,,,,,,,,,
128,127,1.8,4,3,5,3,4,1,5,4,3439.35794,2.783927092,0.437462227,3.221389319,2.7839,3.504,100,5,2.783927092,0,3.221389319,4.054115078,,,,,,,,,,,,,,,,
129,128,1.8,5,3,5,3,4,1,5,4,3729.61661,2.874101788,0.451632147,3.325733936,2.8741,3.617,100,5,2.874101788,4.44089E-15,3.325733936,4.185432668,,,,,,,,,,,,,,,,
130,129,1.8,5,3,5,5,3,1,5,1,3372.500507,2.96719735,0.466261047,3.433458398,2.9672,3.734,100,5,2.536216089,0.430981261,3.433458398,4.321003791,,,,,,,,,,,,,,,,
131,130,1.8,3,3,5,4,4,1,5,4,3266.390093,2.783927092,0.437462227,3.221389319,2.7839,3.504,100,5,2.783927092,0,3.221389319,4.054115078,,,,,,,,,,,,,,,,
